Date,Name,Year,Letterboxd URI,Rating,Liked,High_Rating,Genre,Runtime
2022-12-30,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4.0,0,1,"Action, Adventure, Sci-Fi",136 min
2022-12-30,The Breakfast Club,1985,https://boxd.it/27q4,4.0,0,1,"Comedy, Drama",97 min
2022-12-30,Jurassic Park,1993,https://boxd.it/2aA2,3.0,0,0,"Action, Adventure, Sci-Fi",127 min
2022-12-30,Spider-Man,2002,https://boxd.it/2a8i,4.0,0,1,"Action, Adventure, Sci-Fi",121 min
2022-12-30,Blade Runner,1982,https://boxd.it/2bcA,5.0,0,1,"Action, Drama, Sci-Fi",117 min
2022-12-30,Titanic,1997,https://boxd.it/2a2k,4.0,0,1,"Drama, Romance",194 min
2022-12-30,Zodiac,2007,https://boxd.it/27MO,4.0,0,1,"Crime, Drama, Mystery",157 min
2022-12-30,Toy Story,1995,https://boxd.it/29qA,4.0,0,1,"Animation, Adventure, Comedy",81 min
2022-12-30,Reservoir Dogs,1992,https://boxd.it/2agc,5.0,0,1,"Crime, Thriller",99 min
2022-12-30,The Incredibles,2004,https://boxd.it/1XLm,5.0,0,1,"Animation, Action, Adventure",115 min
2022-12-30,The Dark Knight Rises,2012,https://boxd.it/H3m,3.0,0,0,"Action, Drama, Thriller",164 min
2022-12-30,Star Wars: The Last Jedi,2017,https://boxd.it/5xme,4.0,0,1,"Short, Talk-Show",26 min
2022-12-30,Black Widow,2021,https://boxd.it/hWV8,1.0,0,0,"Action, Adventure, Sci-Fi",134 min
2022-12-30,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,4.0,0,1,"Action, Adventure, Sci-Fi",141 min
2022-12-30,Finding Nemo,2003,https://boxd.it/72i,5.0,0,1,"Animation, Adventure, Comedy",100 min
2022-12-30,Spider-Man 2,2004,https://boxd.it/2a88,3.0,0,0,"Action, Adventure, Sci-Fi",127 min
2022-12-30,(500) Days of Summer,2009,https://boxd.it/1EmM,5.0,0,1,"Documentary, Short",30 min
2024-02-18,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,5.0,1,1,"Drama, Romance, Sci-Fi",108 min
2024-02-18,La La Land,2016,https://boxd.it/a5fa,5.0,1,1,"Comedy, Drama, Music",128 min
2024-02-18,Interstellar,2014,https://boxd.it/4VZ8,5.0,1,1,"Adventure, Drama, Sci-Fi",169 min
